pair_id,band,src_lat,src_lon,dst_lat,dst_lon,gc_km,status,snap_src_m,snap_dst_m,in_sweep
10-25:0000,10-25,42.421246,-71.68741,42.216761,-71.755904,23.425,ok,0.1,9.6,1
10-25:0001,10-25,42.652306,-72.9976,42.512584,-73.192881,22.294,ok,22.6,9.6,1
10-25:0002,10-25,42.20634,-71.685388,42.286205,-71.626734,10.108,ok,20.7,5.9,1
10-25:0003,10-25,42.483429,-70.880048,42.405609,-70.991467,12.588,ok,14.7,11.3,1
10-25:0004,10-25,41.819408,-71.376257,41.920933,-71.296719,13.07,ok,22.2,27.6,1
10-25:0005,10-25,41.359741,-72.638105,41.337321,-72.37064,22.465,ok,46.0,3.0,1
10-25:0006,10-25,41.470653,-72.939826,41.538188,-72.802613,13.673,ok,80.1,3.5,1
10-25:0007,10-25,43.371361,-71.211388,43.508134,-71.263957,15.79,ok,4.0,7.7,1
10-25:0008,10-25,41.467514,-72.904019,41.590375,-73.050941,18.336,ok,37.7,62.7,1
10-25:0009,10-25,42.765578,-71.439342,42.715644,-71.661182,18.948,ok,11.7,2.4,1
10-25:0010,10-25,42.132622,-71.040126,42.161768,-70.852821,15.778,ok,10.1,32.9,1
10-25:0011,10-25,42.233432,-71.149497,42.436207,-71.050885,23.96,ok,40.1,4.8,1
10-25:0012,10-25,42.672585,-72.274529,42.694465,-72.456017,15.033,ok,35.7,8.1,1
10-25:0013,10-25,42.759389,-70.94799,42.73414,-70.817743,11.0,ok,8.6,1873.0,1
10-25:0014,10-25,42.349309,-72.199278,42.392417,-72.403471,17.446,ok,5.7,6.2,1
10-25:0015,10-25,42.073153,-71.612565,42.037597,-71.88285,22.663,ok,33.9,17.7,0
10-25:0016,10-25,42.423145,-72.441753,42.501476,-72.641201,18.535,ok,8.0,52.2,0
10-25:0017,10-25,42.794512,-72.185935,42.920081,-72.43731,24.795,ok,147.2,16.1,0
10-25:0018,10-25,42.255092,-71.964797,42.390368,-72.080078,17.779,ok,8.6,6.6,0
10-25:0019,10-25,41.701064,-71.154637,41.65566,-70.906427,21.223,ok,7.4,20.5,0
10-25:0020,10-25,42.351535,-71.068465,42.448485,-71.009878,11.805,ok,5.5,13.7,0
10-25:0021,10-25,45.360884,-68.950872,45.187279,-68.891424,19.857,ok,20.7,39.9,0
10-25:0022,10-25,43.622581,-71.276185,43.50306,-71.252317,13.429,ok,32.1,230.4,0
10-25:0023,10-25,42.258426,-71.848128,42.16954,-71.620344,21.204,ok,26.5,22.0,0
10-25:0024,10-25,41.530097,-73.01344,41.51732,-72.872046,11.856,ok,15.3,106.2,0
10-25:0025,10-25,42.091767,-70.966155,42.177123,-70.749991,20.194,ok,8.5,19.2,0
10-25:0026,10-25,42.653876,-72.714318,42.456198,-72.835094,24.104,ok,6.3,18.3,0
10-25:0027,10-25,44.594246,-72.563042,44.549775,-72.299549,21.45,ok,10.3,39.5,0
10-25:0028,10-25,42.191768,-70.717818,42.097324,-70.849486,15.104,ok,42.2,41.3,0
10-25:0029,10-25,41.866214,-70.863651,41.799825,-70.764759,11.028,ok,147.3,4.2,0
10-25:0030,10-25,44.035068,-69.536918,43.905336,-69.507147,14.621,ok,0.1,2.1,0
10-25:0031,10-25,43.217738,-72.740354,43.391894,-72.594666,22.671,ok,7.8,6.7,0
10-25:0032,10-25,41.21232,-73.030105,41.297319,-73.072608,10.097,ok,3.0,14.5,0
10-25:0033,10-25,43.494997,-70.453317,43.654024,-70.262999,23.404,ok,0.0,5.6,0
10-25:0034,10-25,42.347038,-71.580066,42.233427,-71.810627,22.787,ok,8.1,2.8,0
10-25:0035,10-25,43.17149,-72.606592,43.257992,-72.715968,13.08,ok,8.8,15.4,0
10-25:0036,10-25,42.113985,-71.799515,41.915309,-71.909256,23.88,ok,65.4,1.0,0
10-25:0037,10-25,43.994793,-71.060903,43.970728,-70.80353,20.766,ok,61.6,15.4,0
10-25:0038,10-25,42.286201,-72.616201,42.15426,-72.606478,14.693,ok,1.4,30.4,0
10-25:0039,10-25,42.628861,-70.768366,42.640373,-70.599487,13.874,ok,11.7,31.5,0
10-25:0040,10-25,41.990379,-70.941986,42.050102,-70.84393,10.474,ok,9.2,69.9,0
10-25:0041,10-25,44.27808,-72.425448,44.409208,-72.195128,23.411,ok,5.7,26.0,0
10-25:0042,10-25,42.037597,-71.88285,42.087597,-71.641177,20.711,ok,17.7,16.2,0
10-25:0043,10-25,42.742995,-71.768876,42.644219,-71.867101,13.604,ok,34.3,6.7,0
10-25:0044,10-25,42.212287,-71.019611,42.223712,-70.8856,11.109,ok,19.4,56.5,0
10-25:0045,10-25,43.546354,-72.425176,43.466739,-72.350091,10.726,ok,6.1,51.9,0
10-25:0046,10-25,42.191766,-71.117551,42.299821,-70.92838,19.668,ok,18.9,637.7,0
10-25:0047,10-25,42.907026,-72.419532,42.825082,-72.5187,12.18,ok,12.5,5.2,0
10-25:0048,10-25,42.483429,-70.880048,42.628861,-70.768366,18.579,ok,14.7,11.7,0
10-25:0049,10-25,42.199546,-70.716152,41.988158,-70.802539,24.562,ok,14.9,1.5,0
10-25:0050,10-25,41.841253,-71.876934,41.831766,-71.587286,24.019,ok,21.5,3.1,0
10-25:0051,10-25,42.483429,-71.107831,42.439796,-70.968308,12.431,ok,98.0,11.6,0
10-25:0052,10-25,42.2301,-70.945272,42.282763,-71.056048,10.836,ok,93.9,10.4,0
10-25:0053,10-25,42.825082,-72.5187,42.951192,-72.768984,24.747,ok,5.2,30.9,0
10-25:0054,10-25,42.126487,-71.309778,42.24098,-71.155022,18.019,ok,48.5,2.1,0
10-25:0055,10-25,43.132583,-71.241175,43.098696,-71.041727,16.622,ok,6.9,24.7,0
10-25:0056,10-25,42.086212,-70.907821,41.95288,-70.814484,16.711,ok,2.6,14.5,0
10-25:0057,10-25,42.352425,-71.06125,42.283433,-70.87449,17.165,ok,9.8,23.1,0
10-25:0058,10-25,42.418934,-71.080073,42.357549,-71.184535,10.963,ok,16.6,10.5,0
10-25:0059,10-25,42.035928,-72.712037,41.973152,-72.806763,10.488,ok,6.4,82.7,0
10-25:0060,10-25,41.636215,-70.934205,41.84169,-70.86092,23.643,ok,50.0,10.5,0
10-25:0061,10-25,41.468445,-70.568917,41.675107,-70.608642,23.216,snap_far,8559.2,4.8,0
10-25:0062,10-25,42.358834,-71.05783,42.48204,-71.061997,13.704,ok,0.1,37.0,0
10-25:0063,10-25,44.736716,-72.349551,44.803104,-72.130378,18.811,ok,12.0,9.9,0
10-25:0064,10-25,41.278151,-73.407343,41.116345,-73.352092,18.576,ok,17.6,106.0,0
10-25:0065,10-25,42.716759,-70.97311,42.525095,-71.111998,24.153,ok,3.0,7.0,0
10-25:0066,10-25,41.711213,-71.106433,41.510109,-71.171165,23.0,ok,722.0,1.3,0
10-25:0067,10-25,42.653876,-72.714318,42.502308,-72.846761,20.041,ok,6.3,135.4,0
10-25:0068,10-25,41.148708,-73.270393,41.313885,-73.077776,24.429,ok,12.1,12.8,0
10-25:0069,10-25,44.208399,-72.103663,44.15965,-71.893741,17.595,ok,6.1,9.2,0
10-25:0070,10-25,44.54121,-72.523675,44.390335,-72.332603,22.613,ok,7.6,28.4,0
10-25:0071,10-25,42.350086,-73.24455,42.543185,-73.318461,22.312,ok,13.4,6.5,0
10-25:0072,10-25,41.273154,-72.583981,41.265375,-72.714263,10.923,ok,1.2,37.5,0
10-25:0073,10-25,41.683662,-73.199665,41.827318,-73.251782,16.548,ok,10.4,7.7,0
10-25:0074,10-25,43.36841,-71.795635,43.337165,-71.565628,18.919,ok,13.7,5.8,0
10-25:0075,10-25,41.343025,-72.129054,41.295931,-72.32786,17.409,ok,16.6,17.3,0
10-25:0076,10-25,42.080662,-70.935599,42.192449,-70.726197,21.275,ok,6.0,2.8,0
10-25:0077,10-25,43.408412,-71.451461,43.442188,-71.588804,11.71,ok,19.0,3.3,0
10-25:0078,10-25,43.970733,-72.081146,43.952845,-72.337596,20.622,ok,4.8,6.4,0
10-25:0079,10-25,42.073153,-71.612565,42.212596,-71.420338,22.172,ok,33.9,50.0,0
10-25:0080,10-25,42.145902,-71.253876,42.228887,-71.519644,23.762,ok,17.4,12.2,0
10-25:0081,10-25,42.538979,-71.87063,42.433423,-72.102301,22.33,ok,31.0,43.0,0
10-25:0082,10-25,44.390057,-72.44707,44.341682,-72.74727,24.462,ok,21.5,29.8,0
10-25:0083,10-25,44.096587,-70.22507,43.975059,-70.123891,15.749,ok,0.0,7.3,0
10-25:0084,10-25,42.023333,-70.68319,41.937332,-70.629274,10.55,ok,4.0,22.9,0
10-25:0085,10-25,43.075007,-73.154188,43.153511,-72.882424,23.724,ok,12.0,7.4,0
10-25:0086,10-25,42.018435,-70.846707,41.916768,-71.004487,17.262,ok,3.1,42.2,0
10-25:0087,10-25,42.463692,-72.580564,42.670362,-72.67398,24.221,ok,11.9,43.0,0
10-25:0088,10-25,42.466762,-71.125887,42.332918,-71.118783,14.894,ok,16.9,2.1,0
10-25:0089,10-25,44.50438,-72.99793,44.680048,-73.083192,20.667,ok,18.4,19.8,0
10-25:0090,10-25,42.545928,-70.993941,42.381337,-71.099771,20.256,ok,47.9,7.5,0
10-25:0091,10-25,43.15591,-73.051771,43.097347,-72.855264,17.226,ok,32.9,7.6,0
10-25:0092,10-25,42.151488,-71.074493,42.161197,-71.216461,11.752,ok,19.8,3.9,0
10-25:0093,10-25,42.615358,-71.215563,42.509818,-70.949495,24.75,ok,13.2,10.4,0
10-25:0094,10-25,43.922839,-73.151227,44.089105,-73.302086,22.077,ok,22.1,11.9,0
10-25:0095,10-25,43.659118,-71.419243,43.54805,-71.407013,12.389,ok,859.8,9.9,0
10-25:0096,10-25,41.619548,-71.052264,41.768157,-71.263382,24.09,ok,2.6,18.6,0
10-25:0097,10-25,41.597039,-73.414843,41.742872,-73.499014,17.659,ok,4.9,10.8,0
10-25:0098,10-25,41.482544,-73.251756,41.408544,-73.437032,17.498,ok,63.2,10.3,0
10-25:0099,10-25,43.072579,-72.649815,42.950637,-72.477311,19.509,ok,61.5,10.4,0
10-25:0100,10-25,43.634491,-70.982857,43.752576,-71.178958,20.518,ok,14.5,0.9,0
10-25:0101,10-25,42.404259,-71.770349,42.25445,-71.814702,17.052,ok,54.0,5.2,0
10-25:0102,10-25,41.561488,-72.582869,41.600544,-72.878294,24.953,ok,15.4,10.1,0
10-25:0103,10-25,44.636106,-72.373296,44.570112,-72.099947,22.851,ok,5.3,2.9,0
10-25:0104,10-25,42.305655,-70.887546,42.429406,-71.055184,19.469,ok,8.8,46.5,0
10-25:0105,10-25,42.311472,-71.927477,42.394517,-72.053682,13.886,ok,4.1,41.8,0
10-25:0106,10-25,43.858676,-72.805385,43.740344,-72.975942,18.987,ok,25.3,29.6,0
10-25:0107,10-25,42.160102,-70.743096,42.220596,-71.004123,22.533,ok,32.1,13.7,0
10-25:0108,10-25,42.570928,-71.028664,42.772312,-71.159781,24.827,ok,1.4,47.9,0
10-25:0109,10-25,41.706488,-72.879823,41.866763,-72.958159,18.968,ok,3.9,14.5,0
10-25:0110,10-25,42.347505,-71.068524,42.427872,-71.336448,23.75,ok,3.8,0.5,0
10-25:0111,10-25,42.02232,-71.718957,42.177131,-71.681207,17.494,ok,50.4,7.9,0
10-25:0112,10-25,41.459833,-70.655585,41.573444,-70.463082,20.408,snap_far,6188.1,2.5,0
10-25:0113,10-25,45.054231,-68.672254,44.980345,-68.396411,23.186,ok,10.7,79.6,0
10-25:0114,10-25,42.240374,-71.406449,42.173816,-71.603135,17.81,ok,2.9,3.0,0
10-25:0115,10-25,43.518387,-71.199554,43.480914,-70.995342,16.99,ok,5.2,50.5,0
10-25:0116,10-25,42.390368,-72.080078,42.226196,-72.049816,18.424,ok,6.6,5.3,0
10-25:0117,10-25,41.926491,-70.79865,41.775381,-70.791426,16.813,ok,9.1,11.0,0
10-25:0118,10-25,42.167508,-71.357276,42.066765,-71.328111,11.458,ok,5.5,9.4,0
10-25:0119,10-25,43.14895,-72.3613,42.993969,-72.19564,21.864,ok,6.3,37.5,0
10-25:0120,10-25,42.469924,-70.917151,42.590372,-70.992553,14.75,ok,6.8,281.5,0
10-25:0121,10-25,43.925066,-71.892076,43.839251,-72.114682,20.232,ok,8.3,7.5,0
10-25:0122,10-25,42.269034,-71.781481,42.061207,-71.878683,24.459,ok,20.3,24.1,0
10-25:0123,10-25,42.151488,-71.074493,42.080662,-70.935599,13.902,ok,19.8,6.0,0
10-25:0124,10-25,41.644271,-70.874481,41.666218,-70.619753,21.303,ok,15.3,16.4,0
10-25:0125,10-25,42.543805,-71.649797,42.407094,-71.52525,18.315,ok,1.9,3.9,0
10-25:0126,10-25,41.771152,-72.334667,41.77977,-72.608139,22.698,ok,9.3,16.8,0
10-25:0127,10-25,41.261764,-73.095386,41.202041,-73.222614,12.542,ok,17.4,11.1,0
10-25:0128,10-25,42.040378,-71.090325,41.990955,-70.862022,19.645,ok,16.4,4.8,0
10-25:0129,10-25,43.533078,-71.246483,43.339247,-71.259511,21.579,ok,1136.6,12.7,0
10-25:0130,10-25,41.816768,-71.086989,41.748157,-71.189768,11.438,ok,244.5,64.8,0
10-25:0131,10-25,42.26481,-73.13566,42.397309,-72.935654,22.077,ok,15.2,34.9,0
10-25:0132,10-25,41.141486,-73.357895,41.222874,-73.256227,12.422,ok,9.9,1.0,0
10-25:0133,10-25,42.262599,-70.995326,42.463985,-70.895326,23.853,ok,4.1,0.3,0
10-25:0134,10-25,41.394543,-72.380085,41.552363,-72.167939,24.907,ok,3.8,14.6,0
10-25:0135,10-25,42.207118,-72.607585,42.277273,-72.400797,18.725,ok,1.3,20.6,0
10-25:0136,10-25,42.218691,-71.223383,42.381337,-71.099771,20.747,ok,4.9,7.5,0
10-25:0137,10-25,42.176483,-71.872572,42.256481,-71.959519,11.419,ok,79.9,6.6,0
10-25:0138,10-25,43.308408,-72.387033,43.400429,-72.514765,14.538,ok,2.1,10.3,0
