pair_id,band,gc_km,arm,pref,weights,km,minutes,mean_score,beautiful_km,sc_water,sc_coast,sc_forest_park,sc_hills,sc_farmland,sc_town
10-25:0000,10-25,23.425,fastest,0.0,shipped,31.9658,29.9989,3.7438,7.2178,9.8371,0.0,20.0191,18.6509,0.0,14.2158
10-25:0000,10-25,23.425,scenic,0.5,shipped,27.5134,30.6335,6.0441,11.1548,16.3448,0.0,20.5472,16.3153,0.0,11.8066
10-25:0000,10-25,23.425,fastest,0.0,town_off,31.9658,29.9989,3.7097,6.7253,9.8371,0.0,20.0191,18.6509,0.0,14.2158
10-25:0000,10-25,23.425,scenic,0.5,town_off,27.5134,30.6335,6.1202,10.3943,16.3448,0.0,20.5472,16.3153,0.0,11.8066
10-25:0000,10-25,23.425,sweep,0.0,shipped,31.9658,29.9989,3.7438,7.2178,9.8371,0.0,20.0191,18.6509,0.0,14.2158
10-25:0000,10-25,23.425,sweep,0.25,shipped,27.5134,30.6335,6.0441,11.1548,16.3448,0.0,20.5472,16.3153,0.0,11.8066
10-25:0000,10-25,23.425,sweep,0.5,shipped,27.5134,30.6335,6.0441,11.1548,16.3448,0.0,20.5472,16.3153,0.0,11.8066
10-25:0000,10-25,23.425,sweep,0.75,shipped,27.6319,31.6142,6.197,11.7156,16.0013,0.0,22.254,17.545,0.0,11.925
10-25:0000,10-25,23.425,sweep,1.0,shipped,27.818,31.845,6.2378,11.7156,16.1874,0.0,22.0257,17.2083,0.0,11.925
10-25:0001,10-25,22.294,fastest,0.0,shipped,36.8502,40.3367,5.9354,8.4158,15.044,0.0,32.1398,32.3591,0.0,20.2217
10-25:0001,10-25,22.294,scenic,0.5,shipped,37.1283,42.184,6.2832,11.9773,13.3067,0.0,35.0713,35.7368,2.3671,20.721
10-25:0001,10-25,22.294,fastest,0.0,town_off,36.8502,40.3367,5.906,9.5289,15.044,0.0,32.1398,32.3591,0.0,20.2217
10-25:0001,10-25,22.294,scenic,0.5,town_off,37.1283,42.184,6.312,13.0255,13.3067,0.0,35.0713,35.7368,2.3671,20.721
10-25:0001,10-25,22.294,sweep,0.0,shipped,36.8502,40.3367,5.9354,8.4158,15.044,0.0,32.1398,32.3591,0.0,20.2217
10-25:0001,10-25,22.294,sweep,0.25,shipped,36.8502,40.3367,5.9354,8.4158,15.044,0.0,32.1398,32.3591,0.0,20.2217
10-25:0001,10-25,22.294,sweep,0.5,shipped,37.1283,42.184,6.2832,11.9773,13.3067,0.0,35.0713,35.7368,2.3671,20.721
10-25:0001,10-25,22.294,sweep,0.75,shipped,37.1677,42.4067,6.3018,12.2853,13.346,0.0,35.1106,35.7761,2.3671,20.7603
10-25:0001,10-25,22.294,sweep,1.0,shipped,37.3032,44.4006,6.4092,12.9716,13.4485,0.0,35.2626,35.9089,2.3671,21.5869
10-25:0002,10-25,10.108,fastest,0.0,shipped,15.712,18.0688,4.1154,0.4941,5.7189,0.0,7.1768,6.2438,0.0,6.5803
10-25:0002,10-25,10.108,scenic,0.5,shipped,13.3143,18.5838,5.0997,1.4816,2.8485,0.0,12.1441,7.2481,0.0,2.8183
10-25:0002,10-25,10.108,fastest,0.0,town_off,15.712,18.0688,3.899,1.5853,5.7189,0.0,7.1768,6.2438,0.0,6.5803
10-25:0002,10-25,10.108,scenic,0.5,town_off,13.3143,18.5838,5.2549,1.6646,2.8485,0.0,12.1441,7.2481,0.0,2.8183
10-25:0002,10-25,10.108,sweep,0.0,shipped,15.712,18.0688,4.1154,0.4941,5.7189,0.0,7.1768,6.2438,0.0,6.5803
10-25:0002,10-25,10.108,sweep,0.25,shipped,13.3604,18.5501,5.0943,1.4816,2.8485,0.0,12.1441,7.2942,0.0,2.8645
10-25:0002,10-25,10.108,sweep,0.5,shipped,13.3143,18.5838,5.0997,1.4816,2.8485,0.0,12.1441,7.2481,0.0,2.8183
10-25:0002,10-25,10.108,sweep,0.75,shipped,13.3143,18.5838,5.0997,1.4816,2.8485,0.0,12.1441,7.2481,0.0,2.8183
