1.901	Head southwest on Ellery Street
1.730	Turn right onto Harvard Street
1.881	Turn left onto Remington Street
2.194	Turn right onto Massachusetts Avenue
1.647	Keep left onto Arrow Street
1.579	Turn left onto Bow Street
1.919	Slight left onto DeWolfe Street
1.834	Turn right onto Memorial Drive
2.396	Make a U-turn to stay on Memorial Drive
2.218	Turn right onto John F. Kennedy Street
2.043	Continue onto North Harvard Street
2.937	Take the exit toward Soldiers Field Road West / Newton
1.850	Merge onto Soldiers Field Road
2.378	Keep left to stay on Soldiers Field Road
1.821	Keep left onto Nonantum Road
0.648	Keep right
2.090	Continue onto California Street
1.765	Turn right onto Crafts Street
1.846	Turn left onto Waltham Street
1.800	Turn right onto Webster Street
1.892	Continue onto Wolcott Street
1.962	Turn left onto Lexington Street
1.718	Continue onto South Avenue
1.892	Continue onto Commonwealth Road
1.881	Continue onto Cochituate Road
1.867	Keep left onto Concord Street
1.834	Turn left onto Frederick Street
1.483	Arrive at your destination
1.785	Head north on Cambridge Street
2.101	Turn left onto New Sudbury Street
2.065	Sharp left onto Cambridge Street
1.834	Continue onto Tremont Street
1.660	Turn left onto School Street
1.950	Turn left onto Washington Street
1.649	Turn right onto Water Street
1.846	Turn right onto Devonshire Street
1.756	Slight right onto Otis Street
1.881	Continue onto Kingston Street
1.683	Turn left onto Essex Street
3.077	Take the exit toward I 93 South: Quincy
2.605	Merge onto John F. Fitzgerald Expressway
2.240	Continue onto Southeast Expressway
4.644	Take exit 14 toward I-93 South / US 1 South: Columbia Road
1.741	Turn left onto Columbia Road
4.377	Take the 1st exit at Kosciuszko Circle onto William T. Morrissey Boulevard
0.708	Turn left
2.720	Slight right onto William T. Morrissey Boulevard
3.947	Take the exit toward I 93 South / US 1 South: Braintree
2.013	Merge onto Southeast Expressway
2.090	Take exit 9 toward West Quincy
1.788	Continue onto Bryant Avenue
1.744	Slight right onto Grove Street
1.695	Turn left onto Bates Avenue
2.090	Turn right onto California Avenue
2.368	Turn left to stay on California Avenue
1.683	Turn right onto Willard Street
3.448	Take the 1st exit at Furnace Brook Parkway onto Willard Street
1.983	Keep left to stay on Willard Street
1.799	Continue onto Granite Street
1.925	Keep left onto Franklin Street
1.950	Continue onto Washington Street
2.218	Turn right to stay on Washington Street
1.915	Continue onto Hancock Street
2.229	Continue onto North Franklin Street
2.287	Continue onto South Franklin Street
1.811	Turn left onto Quincy Street
2.090	Continue onto North Quincy Street
2.717	Take the 2nd exit onto North Quincy Street
1.811	Continue onto Quincy Street
1.858	Turn left onto Crescent Street
1.706	Continue onto Alger Street
1.974	Turn right to stay on Alger Street
1.718	Continue onto Winter Street
1.707	Turn right onto Summer Street
1.765	Turn right onto Thatcher Street
1.579	Continue onto Elm Street
1.637	Turn left onto Grove Street
1.927	Turn right onto North Water Street
2.055	Turn right onto North Bedford Street
1.788	Continue onto Bedford Street
1.660	Continue onto Broad Street
1.776	Continue onto Central Square
2.078	Turn left to stay on Central Square
3.402	Take the 2nd exit at Middleborough Rotary onto Bedford Street
1.799	Continue onto Braley Hill Road
1.544	Continue onto Main Street
1.695	Turn right onto Leonard Street
1.486	Turn left onto Middle Road
1.800	Turn left onto Belleville Avenue
1.788	Turn right onto Kenyon Street
1.974	Turn left onto North Front Street
2.252	Continue onto Herman Melville Boulevard
1.834	Turn left onto MacArthur Drive
1.556	Turn right onto Elm Street
1.634	Head west on Salem Street
1.710	Slight right onto High Street
1.892	Turn right onto Governors Avenue
1.916	Turn left onto South Border Road
1.985	Continue onto Mount Vernon Street
1.660	Turn right onto Skillings Road
1.533	Turn right onto Main Street
1.821	Keep right to stay on Main Street
3.216	Take the 2nd exit at Main Street Circle onto Main Street
1.834	Turn left onto Minot Street
1.707	Turn left onto Nichols Street
1.602	Turn right onto Poole Street
1.695	Turn right onto Winter Street
2.011	Slight right onto Chestnut Street
1.916	Turn right onto Burlington Avenue
1.707	Turn left onto Harris Street
1.707	Turn right onto Cedar Street
1.451	Turn left onto Burt Road
1.707	Turn right to stay on Burt Road
1.776	Turn left onto Canal Street
1.881	Turn left onto Shawsheen Avenue
2.159	Turn left to stay on Shawsheen Avenue
1.602	Continue onto Salem Road
1.600	Keep right onto Harvard Road
1.614	Turn right onto Gray Street
1.869	Continue onto Chandler Street
1.544	Continue onto Whipple Road
1.915	Continue onto Boylston Street
1.765	Turn left onto Lawrence Street
1.579	Turn left onto Moore Street
1.730	Turn right onto Gorham Street
1.904	Continue onto Thorndike Street
1.997	Turn left onto YMCA Drive
1.614	Continue onto Hale Street
1.947	Head northeast on Concord Street
2.146	Keep left to stay on Concord Street
1.869	Turn right onto Cochituate Road
1.800	Turn left onto Wellesley Street
2.090	Turn left to stay on Wellesley Street
2.067	Turn right to stay on Wellesley Street
2.009	Turn right onto Boston Post Road
1.776	Continue onto Weston Street
3.262	Take the 2nd exit at Weston Street onto Weston Street
1.730	Turn left onto Linden Street
1.972	Keep right onto Waverley Oaks Road
1.693	Keep right onto MA 60
1.730	Continue onto Trapelo Road
